Case Gauge Load Current Field
1    1     4    21      4.81
2    1     4    21      5.08
3    1     4    21      5.09
4    1     4    21      4.84
5    1     4    21      5.4
6    1     4    23.5    5.31
7    1     4    23.5    6.52
8    1     4    23.5    5.89
9    1     4    23.5    5.51
10   1     4    23.5    5.77
11   1     4    26      5.52
12   1     4    26      6.62
13   1     4    26      5.97
14   1     4    26      5.76
15   1     4    26      6.13
16   1     5.33 21      5.09
17   1     5.33 21      4.43
18   1     5.33 21      4.63
19   1     5.33 21      5.01
20   1     5.33 21      5.07
21   1     5.33 23.5    5.11
22   1     5.33 23.5    5.17
23   1     5.33 23.5    5.71
24   1     5.33 23.5    5.6
25   1     5.33 23.5    5.85
26   1     5.33 26      5.34
27   1     5.33 26      5.19
28   1     5.33 26      5.86
29   1     5.33 26      5.94
30   1     5.33 26      5.98
31   1     4    21      5.135
32   1     4    21      4.92
33   1     4    21      5.31
34   1     4    21      4.95
35   1     4    21      4.8
36   1     4    23.5    4.96
37   1     4    23.5    5.04
38   1     4    23.5    5.22
39   1     4    23.5    5.54
40   1     4    23.5    6.36
41   1     4    26      5.82
42   1     4    26      5.81
43   1     4    26      6
44   1     4    26      6
45   1     4    26      6.52
46   1     5.33 21      4.14
47   1     5.33 21      4.03
48   1     5.33 21      4.3
49   1     5.33 21      4.09
50   1     5.33 21      4.02
51   1     5.33 23.5    4.6
52   1     5.33 23.5    5.51
53   1     5.33 23.5    4.82
54   1     5.33 23.5    6.37
55   1     5.33 23.5    5.23
56   1     5.33 26      5.09
57   1     5.33 26      5.43
58   1     5.33 26      5.14
59   1     5.33 26      5.21
60   1     5.33 26      5.73
61   2     4    24      6.78
62   2     4    24      5.89
63   2     4    24      6.49
64   2     4    24      6.78
65   2     4    24      6.81
66   2     4    26.5    6.62
67   2     4    26.5    6.54
68   2     4    26.5    6.3
69   2     4    26.5    6
70   2     4    26.5    6.67
71   2     4    29      7.28
72   2     4    29      6.98
73   2     4    29      7.46
74   2     4    29      7.87
75   2     4    29      8.02
76   2     5.33 24      6.62
77   2     5.33 24      6.74
78   2     5.33 24      6.59
79   2     5.33 24      6.39
80   2     5.33 24      6.45
81   2     5.33 26.5    7.25
82   2     5.33 26.5    6.8
83   2     5.33 26.5    6.5
84   2     5.33 26.5    6.36
85   2     5.33 26.5    7.67
86   2     5.33 29      7.62
87   2     5.33 29      7.71
88   2     5.33 29      8.14
89   2     5.33 29      7.26
90   2     5.33 29      8.37
91   2     4    24      7
92   2     4    24      7.16
93   2     4    24      6.68
94   2     4    24      6.68
95   2     4    24      6.98
96   2     4    26.5    6.89
97   2     4    26.5    7.15
98   2     4    26.5    5.99
99   2     4    26.5    5.9
100  2     4    26.5    7.29
101  2     4    29      6.97
102  2     4    29      8.15
103  2     4    29      7.14
104  2     4    29      7.55
105  2     4    29      7.75
106  2     5.33 24      6.64
107  2     5.33 24      5.59
108  2     5.33 24      6.3
109  2     5.33 24      5.64
110  2     5.33 24      6.05
111  2     5.33 26.5    7.14
112  2     5.33 26.5    5.95
113  2     5.33 26.5    7.1
114  2     5.33 26.5    7.57
115  2     5.33 26.5    7.08
116  2     5.33 29      7.68
117  2     5.33 29      6.95
118  2     5.33 29      6.41
119  2     5.33 29      8.35
120  2     5.33 29      7.5
