Case Gauge t     Load  Current NuggetDiam
1    1     6.52  4.072 26.44   NA
2    1     4.6   4.684 21.68   5.64
3    1     3.64  5.024 23.64   NA
4    1     7     4.412 23.36   NA
5    1     6.76  4.888 25.04   NA
6    1     1     4.82  22.52   4.36
7    1     3.4   4.616 27      NA
8    1     5.32  4.48  20.84   6.12
9    1     2.92  5.092 20.56   5
10   1     1.48  5.364 21.12   4.53
11   1     2.2   4.004 21.4    5.2
12   1     2.68  4.344 25.88   NA
13   1     2.44  5.5   23.08   NA
14   1     4.36  3.8   25.32   NA
15   1     1.24  4.208 24.76   6.06
16   1     6.04  4.752 20      NA
17   1     5.56  5.432 25.6    NA
18   1     1.96  4.956 26.16   6.69
19   1     5.8   3.936 23.92   7.17
20   1     4.84  4.14  22.8    NA
21   1     3.16  3.868 22.24   5.71
22   1     6.28  5.228 21.96   5.38
23   1     1.72  4.548 24.2    5.85
24   1     5.08  5.16  26.72   NA
25   1     4.12  5.296 24.48   6.87
26   1     3.88  4.276 20.28   4.91
27   2     4.544 3.936 27.76   7.15
28   2     5.696 4.14  25.52   6.39
29   2     1.088 4.684 28.32   6.38
30   2     0.8   4.276 24.4    4.87
31   2     3.68  4.412 26.08   6.47
32   2     4.832 4.616 23      6.68
33   2     7.136 4.344 27.2    6.71
34   2     4.256 5.228 24.68   6.54
35   2     3.392 4.004 23.28   5.97
36   2     1.952 4.48  23.84   5.72
37   2     2.528 3.8   24.96   6.23
38   2     2.24  4.208 29.72   NA
39   2     1.376 5.024 25.8    5.46
40   2     7.424 4.072 28.88   NA
41   2     6.272 4.548 29.16   7.36
42   2     6.848 5.364 23.56   NA
43   2     3.968 4.888 29.44   7.16
44   2     3.104 5.432 28.6    6.61
45   2     5.12  5.5   26.64   5.98
46   2     6.56  3.868 26.36   6.74
47   2     5.984 4.956 24.12   5.32
48   2     8     5.092 28.04   NA
49   2     2.816 4.82  26.92   6.7
50   2     5.408 5.16  30      NA
51   2     1.664 5.296 27.48   6.02
52   2     7.712 4.752 25.24   5.5
